ID,Address,AssessedValue
991,30 NIESKE RD,497800
992, REIMERS RD,11200
993,62 REIMERS RD,348100
994,72 REIMERS RD,429700
995,76 REIMERS RD ,291700
996,80 REIMERS RD,451100
997,77 REIMERS RD,452700
998,55 REIMERS RD,447200
999,26 STEBBINS RD ,455300
1000,STEBBINS RD ,74100
1001,32 STEBBINS RD,376200
1002,34 STEBBINS RD,353500
1003,40 STEBBINS RD ,324700
1004,44 STEBBINS RD ,407100
1005,STEBBINS RD ,213100
1006,REIMERS RD ,69300
1007,41 REIMERS RD,431200
1008,45 REIMERS RD,431600
1010,13 STEBBINS RD ,359300
1011,9 STEBBINS RD,528400
1012,5 STEBBINS RD,467900
1013,21 STEBBINS RD ,706700
1014,17 STEBBINS RD,324800
1015,143 WILBRAHAM RD ,366300
1016,12 REIMERS RD,359500
1017,REIMERS RD ,73400
1019,9 SAND HILL RD,383000
1020,10 SAND HILL RD,619300
1021,7 SAND HILL RD,421100
1023,REIMERS RD ,17700
1024,17 REIMERS RD ,357700
1025,13 REIMERS RD,407700
1026,9 REIMERS RD ,292000
1027,5 REIMERS RD,405900
1029,WILBRAHAM RD ,7400
1030,WILBRAHAM RD ,7400
1031,121 WILBRAHAM RD,316000
1035,101 WILBRAHAM RD ,1105100
1036,99 WILBRAHAM RD,610800
1037,99R WILBRAHAM RD,228200
1039,95 WILBRAHAM RD ,257400
1040,91 WILBRAHAM RD ,97700
1042,86 WILBRAHAM RD ,380400
1043,98 WILBRAHAM RD ,241000
1044,102 WILBRAHAM RD ,254600
1045,146 WILBRAHAM RD ,330800
1047,59 COTE RD ,393700
1048,57 COTE RD,305100
1049,49 COTE RD,604400
1050,18 CARRIAGE HOUSE LN ,833900
1051,47 COTE RD,570900
1052,39 COTE RD,551000
1053,23 COTE RD ,379200
1054, COTE RD,2900
1055,17 COTE RD ,490500
1056,11 COTE RD,298600
1057, WILBRAHAM RD,72700
1058,106 WILBRAHAM RD ,271400
1059,WILBRAHAM RD ,7600
1060,12 COTE RD ,452200
1061,6 COTE RD,295900
1062,26 COTE RD ,344800
1063, COTE RD,76100
1064, COTE RD,118700
1065,30 COTE RD,536000
1066,46 COTE RD,540100
1067,50 COTE RD,456200
1068,56 COTE RD ,355300
1069,101 COTE RD ,218700
1070,99 COTE RD,214400
1071,97 COTE RD,208300
1072,95 COTE RD,212700
1073,87 COTE RD,357400
1074,2 T PECK RD ,261400
1075,6 T PECK RD,451800
1076,18 T PECK RD ,326000
1077,26 T PECK RD,96400
1078,23 T PECK RD,333600
1079,21 T PECK RD,434600
1080,10 CARRIAGE HOUSE LN ,592500
1082,15 T PECK RD,344600
1083,7 T PECK RD ,326900
1084,79 COTE RD,315600
1085,73 COTE RD,289600
1086,67 COTE RD,297900
1087,63 COTE RD ,276900
1088,68 COTE RD,360000
1089,74 COTE RD,262000
1091,78 COTE RD,292500
1092,84 COTE RD ,355000
1093,LAKESIDE DR ,191500
1095,88 COTE RD,355000
1096,92 COTE RD,281900
1097,94 COTE RD ,471200
1098,96 COTE RD ,290300
1099,100 COTE RD,457000
1100,102 COTE RD ,535700
1102, LAKESIDE DR,80400
1104, T PECK RD (OFF),2800
1105,139 COTE RD ,479400
1106,COTE RD ,90600
1107,119 COTE RD ,415700
1108,126V COTE RD ,74400
1109, COTE RD,73300
1110,115 COTE RD ,562100
1111,113 COTE RD ,478200
1112,109 COTE RD,234400
1113,103 COTE RD ,217900
1114,108 COTE RD ,738900
1115,112 COTE RD,363000
1116,122 COTE RD ,565900
1118,44 LAKESIDE DR ,368200
1119,46 LAKESIDE DR,358100
1120,LAKESIDE DR ,65400
1122,69 LAKESIDE DR ,474800
1123,LAKESIDE DR ,12800
1124,65 LAKESIDE DR ,359200
1125,63 LAKESIDE DR,636900
1126,LAKESIDE DR ,12700
1127,61 LAKESIDE DR ,353900
1128,57 LAKESIDE DR,458400
1129,LAKESIDE DR ,12400
1130,53 LAKESIDE DR ,367300
1131,51 LAKESIDE DR,955500
1133,49 LAKESIDE DR,319100
1134,47 LAKESIDE DR ,354600
1135,45 LAKESIDE DR,445200
1136, LAKESIDE DR,14100
1137,37 LAKESIDE DR,176500
1138,LOWER HAMPDEN RD ,1500
1139,221 LOWER HAMPDEN RD ,373700
1143,296 LOWER HAMPDEN RD ,461600
1144,247 LOWER HAMPDEN RD,324000
1145,243 LOWER HAMPDEN RD ,378200
1148,225 LOWER HAMPDEN RD ,246700
1149,226 LOWER HAMPDEN RD ,291000
1151,238 LOWER HAMPDEN RD ,344900
1152,220 LOWER HAMPDEN RD,433700
1153,MAY HILL RD ,1300
1155, MAY HILL RD,100
1156,175 MAY HILL RD ,541200
1157, MAY HILL RD,200
1158, MAY HILL RD,1500
1159,167 MAY HILL RD ,439800
1160, MAY HILL RD,0
1161,160 MAY HILL RD,243900
1162,258 LOWER HAMPDEN RD ,354300
1163,162 MAY HILL RD,352300
1164,284 LOWER HAMPDEN RD ,413600
1165,294 LOWER HAMPDEN RD,353200
1166, LOWER HAMPDEN RD,700
1168, LOWER HAMPDEN RD,74500
1169,263 LOWER HAMPDEN RD,383100
1170,267 LOWER HAMPDEN RD,416900
1171,275 LOWER HAMPDEN RD ,228600
1172,281 LOWER HAMPDEN RD,474100
1173,289 LOWER HAMPDEN RD ,412700
1174,283 LOWER HAMPDEN RD,586100
1175,293 LOWER HAMPDEN RD ,530200
1176,285 LOWER HAMPDEN RD,747500
1177,LOWER HAMPDEN RD ,37700
1178,126 MAY HILL RD ,513700
1179,122 MAY HILL RD,458900
1180, MAY HILL RD,1600
1182,154 MAY HILL RD ,337400
1183,135 MAY HILL RD ,405200
1185,MAY HILL RD ,1400
1186, MAY HILL RD,200
1187, MAY HILL RD,100
1188,84 MAY HILL RD ,253700
1189,56 MAY HILL RD,400700
1190,62 MAY HILL RD ,484000
1191,68 MAY HILL RD,318500
1193, MAY HILL RD,7800
1194,119 MAY HILL RD,249000
1195,111 MAY HILL RD ,451200
1196,95 MAY HILL RD,345000
1197,109 MAY HILL RD,407500
1198,103 MAY HILL RD ,291300
1199, MAY HILL RD,76200
1201, MAY HILL RD,118500
1202,77 MAY HILL RD ,340600
1203,87 MAY HILL RD,119400
1204, BUTLER RD,41600
1205, MAY HILL RD,18600
1207,CROW HILL RD ,470500
1208,59 CROW HILL RD,255600
1209,31 CROW HILL RD,545800
1210,27 CROW HILL RD ,336400
1211,29 CROW HILL RD,320300
1212,44 CROW HILL RD,360100
1213, CROW HILL RD,74600
1214, CROW HILL RD,89800
1215, BUTLER RD,28900
1216,63 CROW HILL RD,260300
1217,CROW HILL RD ,236900
1218,CROW HILL RD ,165300
1219,STAFFORD RD ,17100
1220, STAFFORD RD,20200
1221,BOSTON RD WEST ,33400
1222,148 BOSTON RD WEST ,474650
1223,BOSTON RD WEST ,72900
1224,BOSTON RD WEST ,400
1225,BOSTON RD WEST ,200
1226,106 BOSTON RD WEST,268800
1227,HOVEY RD ,29600
1228,127 B HOVEY RD ,686800
1229,127 HOVEY RD,101800
1230,125 HOVEY RD,116200
1231,109 HOVEY RD ,173500
1232,97 HOVEY RD,305200
1233,93 HOVEY RD,477300
1234,95 HOVEY RD,490800
1235, HOVEY RD,73900
1236,78 HOVEY RD ,364000
1237,HOVEY RD ,122300
1238,140 HOVEY RD ,537000
1239,32 HOVEY RD ,323600
1240,36 HOVEY RD,383800
1241, HOVEY RD,14800
1242,42 HOVEY RD,281500
1243,44 HOVEY RD ,254600
1246,52 HOVEY RD ,373600
1248,70 HOVEY RD ,280500
1249,77 HOVEY RD ,306700
1251,102 UPPER PALMER RD ,246400
1252,110 UPPER PALMER RD,275800
1253,114 UPPER PALMER RD ,336900
1254,UPPER PALMER RD ,74100
1255,122 UPPER PALMER RD,253300
1256, HOVEY RD,80600
1257,STEBBINS RD ,52600
1259,120 STEBBINS RD ,381600
1260,126 STEBBINS RD ,276100
1261,10 HOVEY RD,285500
1262,22 HOVEY RD,356200
1263,UPPER PALMER RD ,73200
1264,UPPER PALMER RD ,72900
1265,UPPER PALMER RD ,72700
1266,9 HOVEY RD,356600
1267,11 HOVEY RD,407800
1268,130 STEBBINS RD ,88400
1269,95 UPPER PALMER RD ,305300
1270,85 UPPER PALMER RD ,359900
1274,60 UPPER PALMER RD,305800
1275,62 UPPER PALMER RD,85800
1276,UPPER PALMER RD ,1900
1277,62A UPPER PALMER RD ,224500
1278,135 STEBBINS RD,287900
1279, STEBBINS RD,5700
1280,129 STEBBINS RD,323000
1281, STEBBINS RD,5900
1282,127 STEBBINS RD,242400
1283,123 STEBBINS RD,327500
1284,117 STEBBINS RD,330600
1287,106 STEBBINS RD,316900
1288,102 STEBBINS RD,397200
1289,104 STEBBINS RD,176400
1291,112 STEBBINS RD,287500
1292,116 STEBBINS RD ,332400
1294, STEBBINS RD,24500
1295,123 REIMERS RD ,215600
1296,80 STEBBINS RD,519800
1297,82 STEBBINS RD ,657300
1298, STEBBINS RD,41100
1299,98 STEBBINS RD,684900
1300, STEBBINS RD,90300
1301,95 STEBBINS RD,767700
1302, STEBBINS RD,4500
1303,73 STEBBINS RD ,379300
1305,24 UPPER PALMER RD,270300
1306,26 UPPER PALMER RD,245500
1308,46 UPPER PALMER RD,312800
1309,50 UPPER PALMER RD,268000
1310, UPPER PALMER RD,3400
1311,81 WILBRAHAM RD,250800
1312,79 WILBRAHAM RD,243000
1313,25 HOMER DR ,653300
1314,23 WILBRAHAM RD ,241000
1316,21 WILBRAHAM RD,259700
1317,4 HOMER DR ,252600
1318,6 HOMER DR,301100
1319,8 HOMER DR ,324300
1320,10 HOMER DR ,218200
1321,12 HOMER DR ,237700
1322,16 HOMER DR,299600
1323,15 HOMER DR,300500
1324,13 HOMER DR,464700
1325,11 HOMER DR ,273100
1326,9 HOMER DR ,299500
1328,5 HOMER DR,281600
1329,3 HOMER DR,234500
1330,19 WILBRAHAM RD,301800
1331,17 WILBRAHAM RD,303100
1332,2 LONGVIEW DR,266500
1333,4 LONGVIEW DR ,363200
1334, LONGVIEW DR,5200
1335,6 LONGVIEW DR,348300
1336, LONGVIEW DR,5200
1337,10 LONGVIEW DR ,287500
1340,14 WILBRAHAM RD,212000
1341,18 WILBRAHAM RD,228400
1342,28 WILBRAHAM RD,278400
1343,30 WILBRAHAM RD ,271500
1344,63 WILBRAHAM RD ,440900
1345, WILBRAHAM RD,105300
1346, WILBRAHAM RD,87700
1349,48 WILBRAHAM RD ,439300
1350,53 WILBRAHAM RD ,299700
1351,32 WILBRAHAM RD ,222000
1352,36 WILBRAHAM RD,544000
1353,42 WILBRAHAM RD ,391200
1354,56 WILBRAHAM RD,362000
1356,68 WILBRAHAM RD ,315283
1357,16 COTE RD ,392500
1358,84 WILBRAHAM RD,437100
1359,20 WILBRAHAM RD,126800
1360,22 WILBRAHAM RD,295000
1361,24 WILBRAHAM RD ,274300
1362,26 WILBRAHAM RD ,427100
1363,88 LAKESIDE DR ,88200
1364,LAKESIDE DR ,5600
1365,92 LAKESIDE DR,261800
1366,94 LAKESIDE DR,295900
1367,96 LAKESIDE DR,280400
1368,100 LAKESIDE DR,331300
1375,87 LAKESIDE DR,485200
1377,83 LAKESIDE DR,14000
1378,81 LAKESIDE DR,262200
1379,79 LAKESIDE DR ,390800
1380,77 LAKESIDE DR ,266800
1381,71 LAKESIDE DR ,371600
1382,86 LAKESIDE DR,318200
1383,43 PARADISE LAKE RD,564700
1385,27 PARADISE LAKE RD ,525000
1386,73 LAKESIDE DR,286400
1387,75 LAKESIDE DR,353800
1388,102 LAKESIDE DR,799600
1389,73 PARADISE LAKE RD ,480200
1390,PARADISE LAKE RD ,52000
1391,61 PARADISE LAKE RD,367500
1392,59 PARADISE LAKE RD ,591200
1393,57 PARADISE LAKE RD,472500
1394,55 PARADISE LAKE RD,378800
1395,39 PARADISE LAKE RD ,276900
1396,29 PARADISE LAKE RD ,545500
1397,23 PARADISE LAKE RD,427300
1398,32 PARADISE LAKE RD ,329900
1399,34   1/2 PARADISE LAKE RD ,370400
1400,34 PARADISE LAKE RD ,369400
1401,40 PARADISE LAKE RD ,383400
1402,38 PARADISE LAKE RD,345500
1404,46 PARADISE LAKE RD,206300
1406, PARADISE LAKE RD,11500
1407,52 PARADISE LAKE RD ,279400
1408,56 PARADISE LAKE RD ,671000
1409,58 PARADISE LAKE RD,658900
1417,HILLTOP DR ,700
1418,PARADISE LAKE RD ,700
1419, PINEY DR,500
1420,PARADISE LAKE RD ,700
1421,PINEY DR ,700
1422,60 PARADISE LAKE RD ,275900
1423, PARADISE LAKE RD,14800
1424, HILLTOP DR,5400
1425,4 HILLTOP DR,297400
1426,6 HILLTOP DR ,458800
1427,10 HILLTOP DR ,371800
1429,12 HILLTOP DR ,350100
1431,16 HILLTOP DR,316600
1433,18 HILLTOP DR,248600
1434,20 HILLTOP DR ,359800
1436,24 HILLTOP DR,384100
1437,26 HILLTOP DR ,382900
1440,25 HILLTOP DR ,412300
1441,23 HILLTOP DR,370600
1442,HILLTOP DR ,5200
1447,3 HILLTOP DR ,5400
1448,66 PARADISE LAKE RD,552000
1449,2 LAKESIDE DR ,249900
1451,LAKESIDE DR ,5500
1452,6 LAKESIDE DR,355500
1453,8 LAKESIDE DR ,365500
1455,12 LAKESIDE DR,385200
1456,14 LAKESIDE DR,370900
1457,16 LAKESIDE DR,306600
1458, LAKESIDE DR,5500
1461,29 HILLTOP DR,254200
1462,29 LAKESIDE DR ,430900
1463,27 LAKESIDE DR,467800
1464, LAKESIDE DR,12800
1465,LAKESIDE DR ,12400
1466,25 LAKESIDE DR,420700
1467,23 LAKESIDE DR,509000
1468,21 LAKESIDE DR,379500
1469,19 LAKESIDE DR,409300
1470,17 LAKESIDE DR,419100
1472,15 LAKESIDE DR,390300
1473,13 LAKESIDE DR,391800
1474,11 LAKESIDE DR ,380900
1476,9 LAKESIDE DR ,349000
1478,7 LAKESIDE DR,393000
1479,5 LAKESIDE DR ,273900
1480,3 LAKESIDE DR,368600
1481,103 LAKESIDE DR ,326800
1483,111 ELY RD ,284000
1484,107 ELY RD,254200
1485,105 ELY RD,353400
1486,101 ELY RD,421200
1487,95 ELY RD,382800
1488,93 ELY RD,525700
1489,125-127 LOWER HAMPDEN RD ,319300
1491,143 ELY RD,500700
1492,74 ELY RD,584100
1493,113 ELY RD ,415700
1494,83 LOWER HAMPDEN RD ,393900
1495,60 LOWER HAMPDEN RD,1824300
1497,11 BOGAN RD,446900
1498,21 BOGAN RD ,446600
1500,30 BOGAN RD,471900
1501,39 BOGAN RD ,339400
1504,205 LOWER HAMPDEN RD ,425500
1505,152 LOWER HAMPDEN RD ,297400
1507,158 LOWER HAMPDEN RD ,440500
1508,164 LOWER HAMPDEN RD ,73600
1510,53 BOGAN RD,356400
1511,45 BOGAN RD,423400
1512,43 BOGAN RD,355700
1513,36 BOGAN RD,489800
1514,40 BOGAN RD,368400
1515,46 BOGAN RD,233800
1517,50 BOGAN RD,331700
1518,58 BOGAN RD ,254200
1519,BOGAN RD ,2500
1520,61 BOGAN RD ,288700
1522,83 BUMSTEAD RD ,279300
1524,17 OLD STAGECOACH DR ,566800
1526,OLD STAGECOACH LAKE ,17700
1527, OLD STAGECOACH DR,1800
1529,31 OLD STAGECOACH DR,456300
1533, OLD STAGECOACH DR,107300
1534,19 OLD STAGECOACH DR ,602300
1536,9 OLD STAGECOACH DR,354200
1537,7 OLD STAGECOACH DR,471800
1538, OLD STAGECOACH DR,5700
1539,107 BOGAN RD,267100
1540,99 BOGAN RD ,425200
1541,95 BOGAN RD ,314700
1542,66 BOGAN RD,403300
1543,70 BOGAN RD,653400
1544,84 BOGAN RD,541800
1546,74 BOGAN RD,588800
1547,78 BOGAN RD ,505500
1548,94 BOGAN RD,446100
1549,98 BOGAN RD,416200
1550,122 BOGAN RD ,349300
1551,124 BOGAN RD ,403100
1552,119 BOGAN RD,463100
1553,113 BOGAN RD ,386100
1555,111 BOGAN RD ,108200
1556,109 BOGAN RD,305800
1557,2 OLD STAGECOACH DR,360100
1558,4 OLD STAGECOACH DR,377200
1559,6 OLD STAGECOACH DR,260300
1560,10 OLD STAGECOACH DR ,326800
1562,20 OLD STAGECOACH DR ,584200
1563,26 OLD STAGECOACH DR,370000
1564, OLD STAGECOACH DR,109200
1565,151 BUMSTEAD RD ,337900
1566,147 BUMSTEAD RD ,512600
1567,137 BUMSTEAD RD,672200
1568,126 BUMSTEAD RD ,541000
1569,146 BUMSTEAD RD ,734000
1570,123 BUMSTEAD RD,388300
1571,143 BUMSTEAD RD,480700
1572,127 BUMSTEAD RD ,417700
1573,131 BUMSTEAD RD ,517800
1574,133 BUMSTEAD RD,538300
1575,BUMSTEAD RD ,25200
1576,37 OLD STAGECOACH DR,333700
1577,35 OLD STAGECOACH DR ,559700
1578,38 OLD STAGECOACH DR ,446200
1579,40 OLD STAGECOACH DR ,294000
1581,105 BUMSTEAD RD ,304000
1583,102 BUMSTEAD RD,335700
1584,BUMSTEAD RD ,86900
1587,110 BUMSTEAD RD,354100
1588,152 BUMSTEAD RD,285600
1590,205 BUMSTEAD RD ,344600
1591,191 BUMSTEAD RD,409300
1592,197 BUMSTEAD RD ,489300
1593,185 BUMSTEAD RD,118100
1594,179 BUMSTEAD RD ,380100
1595,175 BUMSTEAD RD ,528100
1597,171 BUMSTEAD RD,296300
1598,149 BUMSTEAD RD ,513300
1599,157 BUMSTEAD RD ,412500
1600,BUMSTEAD RD ,1800
1601,158 BUMSTEAD RD,253000
1602,162 BUMSTEAD RD,275500
1603,166 BUMSTEAD RD,290700
1604,170 BUMSTEAD RD,250000
1605,172 BUMSTEAD RD ,307200
1606,176 BUMSTEAD RD ,27600
1608,180 BUMSTEAD RD,302400
1609,184 BUMSTEAD RD ,386200
1610,188 BUMSTEAD RD ,717700
1611,BUMSTEAD RD ,68800
1612,196 BUMSTEAD RD,266700
1613,STAFFORD RD ,117000
1614,69 MAY HILL RD ,326200
1615,217 BUMSTEAD RD,451700
1616,211 BUMSTEAD RD ,330900
1617,233 BUMSTEAD RD ,391500
1618,237 BUMSTEAD RD ,384700
1619,241 BUMSTEAD RD,365300
1620,247 BUMSTEAD RD,384100
1621,33 MAY HILL RD,481400
1622,37 MAY HILL RD ,336200
1623,43 MAY HILL RD,278600
1624,49 MAY HILL RD,344700
1625,57 MAY HILL RD,379600
1626,63 MAY HILL RD,366400
1627,225 BUMSTEAD RD ,834300
1628,229 BUMSTEAD RD,417500
1629,53 MAY HILL RD ,403100
1630,50 MAY HILL RD,357500
1631,221 BUMSTEAD RD,303800
1632,200 BUMSTEAD RD,303400
1633,204 BUMSTEAD RD,302400
1634,210 BUMSTEAD RD,271900
1635,214 BUMSTEAD RD,253100
1636,218 BUMSTEAD RD ,538200
1637,222 BUMSTEAD RD,377100
1639,226 BUMSTEAD RD ,488600
1640,230 BUMSTEAD RD ,342200
1641,234 BUMSTEAD RD ,458800
1642,238 BUMSTEAD RD ,288400
1643,205 STAFFORD RD,388100
1644,201 STAFFORD RD,287200
1645,197 STAFFORD RD ,261600
1646,191 STAFFORD RD ,450300
1647,185 STAFFORD RD ,255800
1648,181 STAFFORD RD,322100
1649,177 STAFFORD RD ,305800
1650,173 STAFFORD RD,322400
1652,165 STAFFORD RD,264700
1653,180 STAFFORD RD,235600
1654,STAFFORD RD ,75900
1655,216 STAFFORD RD,295500
1656,230 STAFFORD RD,425800
1657, STAFFORD RD,73300
1658,218 STAFFORD RD ,307200
1659,257 STAFFORD RD ,461400
1660,279 BUMSTEAD RD ,348400
1661,253 STAFFORD RD ,558300
1662,271 BUMSTEAD RD,609100
1663,267 BUMSTEAD RD,309200
1664,261 BUMSTEAD RD,356000
1666,257 BUMSTEAD RD,277200
1667,34 MAY HILL RD ,464800
1668,36 MAY HILL RD ,383500
1669,44 MAY HILL RD ,340800
1670,40 MAY HILL RD,359600
1671,242 BUMSTEAD RD,201500
1672,244 BUMSTEAD RD,243300
1673,246 BUMSTEAD RD ,274500
1674,22 MAY HILL RD ,355600
1675,256 BUMSTEAD RD,293400
1676,260 BUMSTEAD RD,390900
1678,264 BUMSTEAD RD ,307700
1679,268 BUMSTEAD RD ,261800
1680,274 BUMSTEAD RD ,351100
1681,247 STAFFORD RD,343400
1682,STAFFORD RD ,5800
1683,13 OLD STAFFORD RD ,312400
1684,9 OLD STAFFORD RD ,289200
1685,5 OLD STAFFORD RD,373700
1686,OLD STAFFORD RD ,35100
1687,18 MAY HILL RD,462200
1688,19 MAY HILL RD ,255800
1689,17 MAY HILL RD ,239600
1690,7 MAY HILL RD,307400
1692,5 MAY HILL RD ,243300
1693,3 MAY HILL RD,299500
1695,1 MAY HILL RD ,267300
1696,211 STAFFORD RD,334000
1697,8 OLD STAFFORD RD,276800
1698,232 STAFFORD RD,278000
1699,234 STAFFORD RD,249700
1700,240 STAFFORD RD ,302400
1701,246 STAFFORD RD,298500
1702,STAFFORD RD ,93900
1703,2 STAFFORD HOLLOW RD ,240200
1704,34 STAFFORD HOLLOW RD,477300
1706, STAFFORD HOLLOW RD,3900
1707,28 STAFFORD HOLLOW RD,311300
1708,24 STAFFORD HOLLOW RD,435300
1709,115 PECK BROS RD ,447600
1710,PECK BROS RD ,8200
1711,117 PECK BROS RD ,404700
1712, STAFFORD HOLLOW RD,87200
1713,22 STAFFORD HOLLOW RD ,334700
1714,18 STAFFORD HOLLOW RD ,355600
1715,29 STAFFORD HOLLOW RD ,310100
1716,25 STAFFORD HOLLOW RD,419600
1717,19 STAFFORD HOLLOW RD ,260700
1718, STAFFORD RD,73800
1719,279 STAFFORD RD,362800
1720,2 CROW HILL RD,143500
1721,6 CROW HILL RD ,184300
1722,12 CROW HILL RD ,544000
1723,CROW HILL RD ,151400
1724,CROW HILL RD ,2000
1725,16 CROW HILL RD,437800
1726,14 CROW HILL RD,380700
1727,18 CROW HILL RD ,324900
1728,32 CROW HILL RD,41700
1729, CROW HILL RD,76600
1730,28 CROW HILL RD,394300
1731,25 CROW HILL RD,175300
1732,23 CROW HILL RD,349700
1733,21 CROW HILL RD ,402100
1734,19 CROW HILL RD ,386600
1735,11 CROW HILL RD ,541000
1736,3 CROW HILL RD ,281900
1737,290 STAFFORD RD,252900
1738,298 STAFFORD RD ,318100
1739,310 STAFFORD RD,251500
1740,294 STAFFORD RD ,440000
1741,276 STAFFORD RD ,425600
1742,7 STAFFORD HOLLOW RD ,305000
1743,270 STAFFORD RD ,287600
1744,306 STAFFORD RD,396200
1745,314 STAFFORD RD,245400
1746,326 STAFFORD RD,410000
1747,308 STAFFORD RD,248100
1748,318 STAFFORD RD,253100
1749,344 STAFFORD RD,346600
1750,322 STAFFORD RD,350200
1751,280 STAFFORD RD ,455000
1752,284 STAFFORD RD ,334500
1753,340 STAFFORD RD,450900
1754,334 STAFFORD RD ,416700
1755,330 STAFFORD RD ,387800
1756,STAFFORD RD ,29300
1757,359 STAFFORD RD,609800
1759,341 STAFFORD RD,410700
1760,337 STAFFORD RD,94800
1761,335 STAFFORD RD ,255500
1762,333 STAFFORD RD,213900
1763,331 STAFFORD RD,108700
1764,329 STAFFORD RD,94600
1765,327 STAFFORD RD,124400
1766,325 STAFFORD RD ,230300
1767,321 STAFFORD RD ,95400
1768,319 STAFFORD RD ,79600
1769,313 STAFFORD RD,373400
1770,307 STAFFORD RD,297200
1771,303 STAFFORD RD,107500
1772,348 STAFFORD RD,255800
1773,STAFFORD RD ,8600
1774,350 STAFFORD RD,270800
1775,354 STAFFORD RD,359600
1776,358 STAFFORD RD,235300
1777,368 STAFFORD RD ,74400
1778,376 STAFFORD RD ,297300
1779,375 STAFFORD RD ,342000
1780,STAFFORD RD ,5900
1782,248 STATE AVE ,220000
1785,252 STATE AVE ,393500
1786,256 STATE AVE ,222900
1787,260 STATE AVE,386300
1789,2 FERN HILL RD,235800
1790,4 FERN HILL RD ,333900
1791,8 FERN HILL RD ,226400
1792,10 FERN HILL RD,158000
1793,36 FERN HILL RD ,295300
1794, FERN HILL RD,124000
1798,FERN HILL RD ,57800
1799,FERN HILL RD ,74300
1800,14 FERN HILL RD ,276500
1801,253 STATE AVE,342700
1802,245 STATE AVE,261300
1803,228 STATE AVE,159200
1804,GRANDVIEW TERR ,5200
1805,4 GRANDVIEW TERR ,64000
1806,6 GRANDVIEW TERR,64600
1808,8 GRANDVIEW TERR,68400
1810,5 GRANDVIEW TERR ,187100
1811,232 STATE AVE,288600
1812,234 STATE AVE,323400
1813,238 STATE AVE ,293000
1814,240 STATE AVE ,217300
1815,242 STATE AVE ,303000
1816,244 STATE AVE,212000
1817,246 STATE AVE,268500
1819, STATE AVE,1300
1821,241 STATE AVE ,287600
1822,237 STATE AVE ,284100
1823,235 STATE AVE ,347100
1824,233 STATE AVE,331700
1825,229 STATE AVE,279800
1826,227 STATE AVE,217300
1863,175 STATE AVE ,20547700
1864,126 UPPER PALMER RD,246100
1865,130 UPPER PALMER RD,333800
1866,134 UPPER PALMER RD,356700
1867,138 UPPER PALMER RD,267300
1869,UPPER PALMER RD ,202100
1870,135 UPPER PALMER RD ,311700
1873,HOSPITAL RD ,42200
1874,MACOMBER RD ,16500
1875,MACOMBER RD ,255300
1876,HOSPITAL RD,24800
1877, MACOMBER RD,13800
1878, MACOMBER RD,5000
1879,18 UPPER PALMER RD,262500
1880,20 UPPER PALMER RD,249600
1881,28 UPPER PALMER RD ,394600
1883,30 UPPER PALMER RD ,221100
1884,32 UPPER PALMER RD ,388800
1885,34 UPPER PALMER RD,120500
1886,36 UPPER PALMER RD ,229000
1887,38 UPPER PALMER RD,349800
1888,42 UPPER PALMER RD ,187800
1889,91 UPPER PALMER RD,348600
1897,6 MACOMBER RD,423700
1898,10 MACOMBER RD,463500
1899,12 MACOMBER RD,455000
1900,14 MACOMBER RD ,584900
1901,25 MACOMBER RD ,312800
1902,UPPER PALMER RD ,25300
1903,21 MACOMBER RD,238200
1904,MACOMBER RD ,12300
1905,15 MACOMBER RD,378600
1907,9 MACOMBER RD,259000
1908,7 MACOMBER RD ,235700
1909,5 MACOMBER RD ,331500
1910,3 MACOMBER RD,248100
1911,1 MACOMBER RD ,221000
1912,33 UPPER PALMER RD,372900
1913,31 UPPER PALMER RD ,264200
1914,29 UPPER PALMER RD,347300
1915,27 UPPER PALMER RD,235500
1916,25 UPPER PALMER RD ,274100
1917,15 UPPER PALMER RD,475800
1920,66 MARGARET ST,324900
1921,70 MARGARET ST,221000
1922,72 MARGARET ST ,370500
1923,86 MARGARET ST ,413400
1924,MARGARET ST ,171200
1925,81 MARGARET ST ,371800
1926,79A MARGARET ST #A,420400
1928,75 MARGARET ST,648800
1930,79 B MARGARET ST ,215400
1931,79 MARGARET ST ,137700
1932,69 MARGARET ST ,329500
1933,65 MARGARET ST,311600
1934,63 MARGARET ST ,235800
1935,COUNTRY CLUB DR,17200
1936,43 COUNTRY CLUB HGTS,401100
1937,47 COUNTRY CLUB HGTS ,367000
1938,49 COUNTRY CLUB HGTS ,389500
1940,UPPER PALMER RD ,73400
1941,UPPER PALMER RD,21300
1942,42 MARGARET ST ,325800
1943, MARGARET ST,6000
1944,43 MARGARET ST,16106200
1945, WILBRAHAM RD,28200
1946,55 MARGARET ST,12334700
1947,MARGARET ST ,73200
1948,MARGARET ST ,84800
1949,58 MARGARET ST,521800
1950, MARGARET ST,200
1951,56 MARGARET ST ,702800
1952, MARGARET ST,9900
1954,14 LONGVIEW DR ,485200
1955,16 LONGVIEW DR ,673000
1956,18 LONGVIEW DR ,510600
1957,15 LONGVIEW DR,335400
1958,11 LONGVIEW DR,545400
1959,9 LONGVIEW DR,485000
1961,LONGVIEW DR ,14900
1962,64 MARGARET ST,230100
1963,49 MARGARET ST ,346500
1964,27 MARGARET ST ,335900
1965,25 MARGARET ST,291900
1967,47 THOMPSON ST,230300
